Cycle 60: imm_x=0x00009CE0AE73 imm_y=0xFFFD20ED22AD imm_z=0xFFFFF5798896 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 61: imm_x=0x0000995D702A imm_y=0xFFFD13B6364D imm_z=0xFFFFF50FCF12 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 62: imm_x=0x0000952F5C10 imm_y=0xFFFD076304F4 imm_z=0xFFFFF43D0F73 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 63: imm_x=0x0000914202BE imm_y=0xFFFCF95857DE imm_z=0xFFFFF4858A8D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 64: imm_x=0x00008EBE98F3 imm_y=0xFFFCEC1900F9 imm_z=0xFFFFF49F9A38 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 65: imm_x=0x00008BE4B703 imm_y=0xFFFCDCEB76A8 imm_z=0xFFFFF45B6588 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 66: imm_x=0x000087AFF5A1 imm_y=0xFFFCCFF827A1 imm_z=0xFFFFF435D5CC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 67: imm_x=0x000084739405 imm_y=0xFFFCC31D2C04 imm_z=0xFFFFF42CEA7F p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 68: imm_x=0x0000808F7DAF imm_y=0xFFFCB5256087 imm_z=0xFFFFF382E0DC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 69: imm_x=0x00007C133115 imm_y=0xFFFCA899E9E4 imm_z=0xFFFFF3452BFF p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 70: imm_x=0x00007851EBD9 imm_y=0xFFFC9B7A5DA9 imm_z=0xFFFFF368F467 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 71: imm_x=0x000074F47EF1 imm_y=0xFFFC90C5C745 imm_z=0xFFFFF2E09254 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 72: imm_x=0x00006FD58B36 imm_y=0xFFFC85F6F8C4 imm_z=0xFFFFF2E016A4 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 73: imm_x=0x00006BBABC19 imm_y=0xFFFC78B29F5D imm_z=0xFFFFF25A1610 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 74: imm_x=0x0000642231A5 imm_y=0xFFFC6BF8BE80 imm_z=0xFFFFF26EF39D p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 75: imm_x=0x00005E8C4910 imm_y=0xFFFC5FB886C2 imm_z=0xFFFFF24B26C8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 76: imm_x=0x0000574218F0 imm_y=0xFFFC5254F5DF imm_z=0xFFFFF1B21567 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 77: imm_x=0x00004F879C23 imm_y=0xFFFC43188AA4 imm_z=0xFFFFF1FE434B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 78: imm_x=0x00004806AC67 imm_y=0xFFFC34A0E2ED imm_z=0xFFFFF19D7341 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 79: imm_x=0x00003F13AD44 imm_y=0xFFFC26AD0FBF imm_z=0xFFFFF1451C82 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 80: imm_x=0x000037FA69E2 imm_y=0xFFFC17DE45CD imm_z=0xFFFFF1402084 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 81: imm_x=0x000030F6E04D imm_y=0xFFFC09F41FDF imm_z=0xFFFFF1725290 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 82: imm_x=0x00002A445778 imm_y=0xFFFBFBE3040B imm_z=0xFFFFF0ECB49E p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 83: imm_x=0x000021E3B80E imm_y=0xFFFBEE133881 imm_z=0xFFFFF0CCD95C p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 84: imm_x=0x0000197C4ED0 imm_y=0xFFFBE107AF41 imm_z=0xFFFFF0C375FD p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 85: imm_x=0x0000115DA805 imm_y=0xFFFBD44B5E1D imm_z=0xFFFFF0C455D1 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 86: imm_x=0x000009E7A10C imm_y=0xFFFBC853DDB9 imm_z=0xFFFFF09497D8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 87: imm_x=0x000001AAC939 imm_y=0xFFFBB9EF2A73 imm_z=0xFFFFF04025F8 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 88: imm_x=0xFFFFF8CACBD2 imm_y=0xFFFBADE86EFF imm_z=0xFFFFEFD710DC p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 89: imm_x=0xFFFFF0EC1C55 imm_y=0xFFFBA0694D3F imm_z=0xFFFFEFC1CB18 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 90: imm_x=0xFFFFE8820C01 imm_y=0xFFFB936BE94A imm_z=0xFFFFEF5371AA p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 91: imm_x=0xFFFFE0ED07FF imm_y=0xFFFB879C14A9 imm_z=0xFFFFEE74ECAA p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 92: imm_x=0xFFFFD8801E54 imm_y=0xFFFB7BE67E16 imm_z=0xFFFFEEBE70E4 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 93: imm_x=0xFFFFD1370E73 imm_y=0xFFFB728A7696 imm_z=0xFFFFEF0B5CBB p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 94: imm_x=0xFFFFC9F825BE imm_y=0xFFFB68B8149E imm_z=0xFFFFEE4FC12B p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 95: imm_x=0xFFFFC22192F9 imm_y=0xFFFB5F22BE6F imm_z=0xFFFFEE232B42 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 96: imm_x=0xFFFFBC3ACC98 imm_y=0xFFFB568D20BB imm_z=0xFFFFEE70EB57 p_ca=0x000000028F5C p_si=0x000000FAE148 p_bi=0x000000028F5C
Cycle 97: imm_x=0xFFFFB84AC2CB imm_y=0xFFFB5473B648 imm_z=0xFFFFEFCCE55E p_ca=0x000000028F5C p_si=0x000000028F5C p_bi=0x000000FAE148
Cycle 98: imm_x=0xFFFFB0A4B68A imm_y=0xFFFB49B3B179 imm_z=0xFFFFEEF9C971 p_ca=0x000000028F5C p_si=0x000000FAAF17 p_bi=0x00000002C18D
Cycle 99: imm_x=0xFFFFAAA2D86E imm_y=0xFFFB41907642 imm_z=0xFFFFEE7F3228 p_ca=0x00000009B9A5 p_si=0x000000F3B6FF p_bi=0x000000028F5C
